country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh,capacity_segment,energy_type,owner_group
IDN,Indonesia,Ampenan,WRI1000736,56.284,-8.5667,116.0667,Oil,,Pln - West Nusa Tenggara Regional Unit/Ntb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,2053.0004385803577,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Asahan I,WRI1000737,180.0,2.5113,99.259,Hydro,,Pt Bajradaya Sentranusa (China Huadian Corporation 70% + Pjb 26.5%+Nusa Konstruksi Engineering 3.5%),Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,598.0008737623891,Large (>100 MW),Renewable,Non-PLN
IDN,Indonesia,Bakaru,WRI1000738,126.0,-3.1141,119.6042,Hydro,,Pln-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,418.6006116336724,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Balambano,WRI1000739,130.0,-2.5213,121.357,Hydro,,Pt. Inco,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,431.8895199395033,Large (>100 MW),Renewable,Non-PLN
IDN,Indonesia,Bengkok+Dago/Saguling,WRI1000743,3.85,-6.6247,107.5564,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,12.790574244362212,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Besai - Way Kanan,WRI1000744,92.8,-4.9822,104.8051,Hydro,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,308.3026726952762,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Bili Bili,WRI1000745,20.1,-5.2779,119.5817,Hydro,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,66.77676423680012,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Bitung - Menado,WRI1000746,56.62,1.4451,125.1824,Oil,,Pln-Nth & Ctrl Sulawesi & Gorontalo Reg Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,2065.2562865542577,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Cikalong/Saguling,WRI1000747,19.2,-6.9039,107.6186,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,63.78675986798818,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Ciratai & Ii,WRI1000748,1008.0,-6.7004,107.3671,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,3348.8048930693794,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Darajat 1,WRI1000750,55.0,-7.2173,107.7394,Geothermal,,Pln – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,411.3934426229508,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Darajat 2  3,WRI1000751,215.0,-7.2173,107.7394,Geothermal,,Pt. Chevron Geothermal Darajat  Ltd,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1608.1743666169896,Large (>100 MW),Renewable,Non-PLN
IDN,Indonesia,Dieng,WRI1000752,60.0,-7.2061,109.9119,Geothermal,,Pt. Geo Dipa Energy,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,448.7928464977646,Medium (10–100 MW),Renewable,Non-PLN
IDN,Indonesia,Giringan - Pamekasan,WRI1000755,3.2,-7.7201,111.6715,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,10.631126644664697,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Golang - Pamekasan,WRI1000756,2.7,-8.1408,111.1317,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,8.97001310643584,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Gunung Malang,WRI1000758,25.536,-6.7409,106.673,Oil,,Pln-East Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,931.4444460164171,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Gunung Salak,WRI1000759,375.0,-6.7416,106.648,Geothermal,,Pt. Chevron Geothermal Salak  Ltd,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,2804.9552906110284,Large (>100 MW),Renewable,Non-PLN
